,Source,Text,Category,Date,Explanation,Label
5214,Donald Trump,"""Frankly, (Hillary Clinton) doesn’t do very well with women.""",National,"Monday, May 2nd, 2016",Clinton leads Trump among women by historic margin,Pants on Fire!
5215,Randy Forbes,"China is ""going to have twice the number of submarines we have in just over a decade.""",Virginia,"Monday, May 2nd, 2016",Not water tight,Half-True
5216,Kiki Curls,"Missouri ""is the state with the lowest paid workers.""",Missouri,"Monday, May 2nd, 2016","Toward the bottom, but not last",Half-True
5217,John Kasich,"""After my first year as governor, I was one of the most unpopular governors, maybe the most unpopular governor in the country. ... It changed.""",Ohio,"Monday, May 2nd, 2016",Winning the unpopularity contest,True
5218,Kirk Cox,"""In two years, Gov. McAuliffe has vetoed more bills that the previous three governors issued in each of their four-year terms.""",Virginia,"Sunday, May 1st, 2016",Governor says they were bad bills,True
5219,Ted Cruz,"Says Donald Trump’s ""only economic agenda is imposing massive taxes on the American people with a 40 percent tax hike of a giant tariff.""",National,"Sunday, May 1st, 2016","Trump's got other ideas, too",Half-True
5220,Ted Cruz,"Says both Donald Trump and Hillary Clinton say Planned Parenthood is ""terrific and that it should keep taxpayer funding.""",National,"Saturday, April 30th, 2016",Clinton and Trump don't see eye-to-eye,Mostly False
5221,Julián Castro,"""Bernie Sanders voted with Republicans to protect the Minutemen, a hate group that used military tactics against our community.""",Texas,"Saturday, April 30th, 2016",Surrogate hyperbole,Half-True
5222,Ridesharing Works for Austin,"If Austin voters reject Proposition 1, a ""completely new City-run"" criminal background check ""process will cost millions in processing fees, additional staff, and bureaucracy"" with taxpayers getting ""the bill.""",Texas,"Friday, April 29th, 2016",Tap brakes,False
5223,Pat McCrory,"North Carolina has ""one of the fastest growing populations as well as the fastest growing economy in the country.""",North Carolina,"Friday, April 29th, 2016","Take that, Florida",True
5224,Amy Schumer,"""You can absolutely get a gun if you have several felonies as long as you buy it on the Internet or at a gun show.""",PunditFact,"Friday, April 29th, 2016","A funny bit, but a serious point",Half-True
5225,Maggie Hassan,"""Kelly Ayotte has voted four times against the federal Paycheck Fairness Act.""",New Hampshire,"Friday, April 29th, 2016",On this specific bill,Mostly True
5226,Maggie Hassan,"Kelly Ayotte ""has voted to defund Planned Parenthood"" six times.",New Hampshire,"Friday, April 29th, 2016",A consistent critic,Mostly True
5227,Arizona Grassroots Action PAC,"Says Ann Kirkpatrick ""votes with her party nearly 90 percent of the time.""",Arizona,"Friday, April 29th, 2016",Supports Obama less,Mostly True
5228,Michelle Obama,"""Research even shows that sending more girls to school can boost an entire country’s GDP.""",Global News Service,"Friday, April 29th, 2016",More limited effect than it sounds,Mostly True
5229,Paul Ryan,"The decision for the United States to buy heavy water from Iran ""will directly subsidize Iran’s nuclear program.""",Wisconsin,"Friday, April 29th, 2016",Main aim of purchase is to make it harder for Iran to make a nuclear weapon,Mostly False
5230,Facebook posts,"""Today President Obama said there will NOT be a National Day of Prayer in May.""",National,"Friday, April 29th, 2016",Facebookers bear false witness,Pants on Fire!
5231,Katie McGinty,"""Pat Toomey advocated for eliminating all corporate taxes.""",Pennsylvania,"Thursday, April 28th, 2016","""Let’s not tax corporations.""",True
5232,William Barber,"""80 percent of North Carolinians are for the living wage""",North Carolina,"Thursday, April 28th, 2016",Full time minimum wage? $15k a year,Mostly True
5233,Bernie Sanders,"Says an array of statistics show that conditions in some parts of Baltimore rival that of ""the West Bank in Palestine,"" ""North Korea,"" and ""distressed cities in Nigeria, India, China and South Africa.""",Global News Service,"Thursday, April 28th, 2016",The developing world of Bmore,Mostly True
5234,Donald Trump,"""When President Obama landed in Cuba on Air Force One, no leader was there, nobody, to greet him -- perhaps an incident without precedent in the long and prestigious history of Air Force One.""",National,"Thursday, April 28th, 2016",Much the same as when Nixon went to China,Half-True
5235,Alan Grayson,"Says LeBron James ""stops paying his Social Security taxes at the beginning of the second quarter of the first game of the season.""",Florida,"Wednesday, April 27th, 2016",A different kind of salary cap,Mostly True
5236,Donald Trump,"""ISIS is making millions of dollars a week selling Libyan oil.""",National,"Wednesday, April 27th, 2016","Expert calls Trump claim a ""gem of misinformation.""",False
5237,Donald Trump,"""I was totally against the war in Iraq, saying for many years that it would destabilize the Middle East.""",National,"Wednesday, April 27th, 2016",Maybe he kept this to himself,False
5238,John Oliver,"""We knew Strom Thurmond had proposed"" the amendment that blocked Puerto Rico’s use of Chapter 9 bankruptcy protection.",PunditFact,"Wednesday, April 27th, 2016",Did Strom know what he was doing?,Mostly True
5239,John Kirby,"Says President Barack Obama never said, ""No boots on the ground"" in Syria.",National,"Wednesday, April 27th, 2016","Obama used the term repeatedly, sometimes with caveats",False
5240,New Day for America,"Says ""Hillary Clinton has promised to raise taxes by $1 trillion dollars.""",National,"Tuesday, April 26th, 2016","Whoa now, not $1 trillion all at once",Half-True
5241,Shawn O'Connor,"""A simple review of the Backroom’s health code records will reveal that the restaurant already has a long-standing problem with rodent infestations.""",New Hampshire,"Tuesday, April 26th, 2016",Squeaky clean record,Pants on Fire!
5242,Trent Franks,"""Today in America, between 40 and 50 percent of all African-American babies, virtually 1-in-2, are killed before they are born.""",Arizona,"Tuesday, April 26th, 2016",Limited numbers,Mostly False
5243,David Jolly,"Says he ""was the only Republican"" to vote against creating a House panel to investigate Planned Parenthood.",Florida,"Tuesday, April 26th, 2016",One conservative principle trumped another,True
5244,Facebook posts,"Says Target installed urinals in a women’s bathroom to ""accommodate the ones who have giblets.""",California,"Tuesday, April 26th, 2016",No evidence to back up viral bathroom post,Pants on Fire!
5245,Hillary Clinton,"Marijuana is a Schedule I drug, ""which you understand means that you can’t do any research about it.""",National,"Tuesday, April 26th, 2016",Clinton's blowing smoke,Mostly False
5246,Ban Ki-moon,"The Paris Agreement ""is by far the largest number of countries ever to sign an international agreement on a single day.""",Global News Service,"Tuesday, April 26th, 2016",Still needs to be ratified,Mostly True
5247,Occupational Knowledge International,"Says Sherwin-Williams is ""making lead paint and poisoning people around the world.""",Ohio,"Monday, April 25th, 2016",Get the lead out,Half-True
5248,Ted Cruz,"Says Donald Trump thinks ""a grown man pretending to be a woman (should) be allowed to use the women's restroom.""",National,"Monday, April 25th, 2016",Distorting Trump's bathroom views,Mostly False
5249,Ted Cruz,"""I earned more votes in the state of Wisconsin than Donald Trump did in New York.""",National,"Monday, April 25th, 2016","Slightly more, but more",True
5250,Rick Scott,"""Over the past two years, Florida has cut more than $1 billion in taxes.""",Florida,"Monday, April 25th, 2016",Tax changes aren't always what he wanted,Mostly True
5251,Bernie Sanders,"""A tax on soda and juice drinks would disproportionately increase taxes on low-income families in Philadelphia.""",Pennsylvania,"Monday, April 25th, 2016",Bernie speaks the truth about the soda tax,True
5252,Tim Ziemer,"""In Africa, a child dies every minute because of (malaria).""",Global News Service,"Monday, April 25th, 2016","Estimates vary, but the toll is high",Mostly True
5253,Catherine Hanaway,"""As a former federal prosecutor, I prosecuted over 4,000 cases.""",Missouri,"Monday, April 25th, 2016",As head of a large office,True
5254,Bob Goodlatte,"""Before taking executive action on immigration, President Obama stated 22 times that he does not have the authority to change immigration laws on his own.""",Virginia,"Sunday, April 24th, 2016","Often said, but shy of 22 times",Mostly True
5255,Bob Graham,"""We know that Saudi Arabia started al-Qaida.""",National,"Sunday, April 24th, 2016","Individuals, yes. Government, maybe.",Half-True
5256,Bernie Sanders,"In the 2014 election, ""80 percent of poor people did not vote.""",National,"Sunday, April 24th, 2016",Income inequality and political inequality,Mostly True
5257,Hillary Clinton,"""She is the only candidate who has stood by our community and immigration reform from the beginning.""",Rhode Island,"Friday, April 22nd, 2016",When is the beginning?,Mostly False
5258,Great America PAC,"Says Ted Cruz ""wanted to let in more Syrian refugees and give amnesty to illegal immigrants.""",Wisconsin,"Friday, April 22nd, 2016","True in the past, false in the present",Half-True
5259,"Tom ""Smitty"" Smith","""Texas has 600,000 registered voters who don’t have the kind of photo ID needed to vote.""",Texas,"Friday, April 22nd, 2016",2014 estimate,Mostly True
5260,Danny Tarkanian,"Says Nevada state Sen. Michael Roberson ""forced Common Core for Nevada schools.""",Nevada,"Friday, April 22nd, 2016",Common misconception,Half-True
5261,Unbreakable Kimmy Schmidt,"""Dolphins are rapists. Look it up.""",PunditFact,"Friday, April 22nd, 2016",It wasn't on porpoise,False
5262,Robby Mook,"""In last week’s debate, Bernie questioned Hillary’s commitment to fighting climate change because a whopping 0.2 percent of the money given to our campaign has come from employees of oil and gas companies. Not even 2 percent, mind you: 0.2 percent.""",National,"Friday, April 22nd, 2016","He's correct, using narrowest definition",Mostly True
5263,Donald Trump,"""Pennsylvania has lost 35 percent of its manufacturing jobs since 2001"" and ""Harrisburg has lost 40 percent of its manufacturing jobs since 2001.""",Pennsylvania,"Friday, April 22nd, 2016",He was pretty close,Mostly True
5264,Kofi Annan,"""Studies have consistently failed to establish the existence of a link between the harshness of a country’s drug laws and its levels of drug use.""",Global News Service,"Friday, April 22nd, 2016",Results are all over the map,Mostly True
5265,Jerry Jones,"Says it’s ""absurd"" to say there’s enough data to establish a link between playing football and Chronic Traumatic Encephalopathy.",Texas,"Friday, April 22nd, 2016",Defensive interference,Pants on Fire!
5266,Bernie Sanders,"""Under the federal Controlled Substance Act, marijuana is listed in the same Schedule I as heroin,"" even though ""marijuana is not a killer drug like heroin.""",Wisconsin,"Thursday, April 21st, 2016","Listing due to health considerations, not criminal penalties",Mostly True
5267,Pat McCrory,"The Human Rights Campaign is ""more powerful than the NRA.""",North Carolina,"Thursday, April 21st, 2016",Like a .22 compared to a 12-gauge,False
5268,Ben Carson,"""Andrew Jackson was the last president who actually balanced the federal budget, where we had no national debt.""",National,"Thursday, April 21st, 2016",Expert: 'One-time gimmick',Mostly True
5269,Hillary Clinton,"""When I withdrew in June of 2008, polls were showing that at least 40 percent of my supporters said, oh, they weren't going to support Sen. Obama.""",National,"Thursday, April 21st, 2016",She's in better shape now than Obama was then,Mostly True
5270,Lee Camp,"""In 2009 … Hillary Clinton was at the State Department working with U.S. corporations to pressure Haiti not to raise the minimum wage to 61 cents an hour from 24 cents.""",Global News Service,"Thursday, April 21st, 2016",Evidence isn't conclusive,Half-True
5271,Steve Santarsiero,"""Steve Santarsiero wrote PA’s Gun Safety Law.""",Pennsylvania,"Wednesday, April 20th, 2016",He confused a law with a bill,False
5272,Donald Trump,"""Ted Cruz is mathematically out of winning the race.""",National,"Wednesday, April 20th, 2016","Impossible moving forward, possible looking back",Mostly True
5273,Donald Trump,"Says professional football coach Rex Ryan ""won championships in New York. The AFC, I think, twice.""",National,"Wednesday, April 20th, 2016",Ryan's career record: 58-61,False
5274,Bernie Sanders,"Says that in her speech to the pro-Israel group AIPAC, Hillary Clinton ""had one line on the Palestinian people.""",National,"Wednesday, April 20th, 2016","An imbalance, but not that big",Mostly False
5275,Dinesh D'Souza,"""As a U.S. senator with salary and perks, ‪#‎Bernie‬ is in the top 1 percent, but still paid only 13 percent in taxes last year.""",PunditFact,"Wednesday, April 20th, 2016",UPDATE: D'Souza reacts,Mostly False
5276,Bernie Sanders,"""Washington politicians are paid over $200,000 an hour for speeches.""",National,"Wednesday, April 20th, 2016",Not if they're still serving,Mostly False
5277,Jerome Buting,"Wisconsin pays criminal defense lawyers who represent the indigent $40 per hour, ""the lowest in the country.""",Wisconsin,"Tuesday, April 19th, 2016","Of the 30 states with set rates, yes",Mostly True
5278,Donald Trump,"The Colorado caucus system for selecting Republican delegates is ""rigged.""",Colorado,"Tuesday, April 19th, 2016",Caucuses problematic but not crooked,False
5279,Corey Lewandowski,"""The chairman of the party of Florida, who is an avid and outward supporter of Marco Rubio, gets to appoint 30 of those delegates.""",Florida,"Tuesday, April 19th, 2016",Not enough lovin' from state GOP for Trump?,False
5280,Ohio Democratic Party,"Says Republican presidential candidate and Gov. John Kasich has spent 177 days out of state and used $350,000 in taxpayer money on his ""costly campaign.""",Ohio,"Tuesday, April 19th, 2016",Security ain't cheap,True
5281,Bernie Sanders,"""We spend about 75 percent of the entire cost of the military aspect of NATO.""",National,"Tuesday, April 19th, 2016",Updated: Tricky to track the dollars,Half-True
5282,Doug Ducey,"""90 percent of fires in Arizona are human-caused.""",Arizona,"Tuesday, April 19th, 2016",Cherry-picks data,Half-True
5283,ActionAid UK,"""Tax dodging costs developing countries $200 billion every year.""",Global News Service,"Tuesday, April 19th, 2016",Tough to get a precise number,Half-True
5284,Bernie Sanders,"""We win when voter turnout is high, we lose when it is low.""",National,"Monday, April 18th, 2016",Not as strong a connection as he suggests,Mostly False
5285,Jack Berry,"Richmond teachers have not gotten a raise ""for almost 10 years.""",Virginia,"Monday, April 18th, 2016",Five raises in 10 years,Mostly False
5286,Donald Trump,"Says Jeb Bush and Marco Rubio ""had it set so that the winner takes everything, because they wanted to make sure that I didn't get anything"" in the Florida primary.",Florida,"Monday, April 18th, 2016",Nobody was talking about Trump,False
5287,Catherine Hanaway,"""We’re the worst state in the country at moving people from welfare to work.""",Missouri,"Monday, April 18th, 2016",Missouri is far from last place,False
5288,Lauren Hitt,"""While Mayor Kenney personally doesn't support DROP, he can't fault highly qualified city employees for appropriately utilizing a benefit that's available to them.""",Pennsylvania,"Monday, April 18th, 2016",DROP is OK but not for everyone,Full Flop
5289,Don Beyer,"""But for immigrants, we would have a contracting population...""",Virginia,"Sunday, April 17th, 2016","Not now, maybe in 30 years",Mostly False
5290,Pat McCrory,"""The city of Charlotte passed a bathroom ordinance mandate on every private-sector employer in Charlotte.""",National,"Sunday, April 17th, 2016",Not all businesses,Mostly False
5291,John Pagliarini,"""You’re in more trouble if you leave your pet in the car than if you leave your child in the car.""",Rhode Island,"Friday, April 15th, 2016",But then there's the DCYF,Half-True
5292,Jack Falanagan,"Says New Hampshire’s second congressional district includes two counties where ""almost 5 percent if not more"" of residents are enrolled in the state’s expanded Medicaid program.",New Hampshire,"Friday, April 15th, 2016",Highest in state,True
5293,"Our City, Our Safety, Our Choice","Austin’s Stop Abuse for Everyone has seen in its offices ""sexual assault survivors that report being attacked by their ridesharing drivers, at a rate of one per month.""",Texas,"Friday, April 15th, 2016",None in 2016,Half-True
5294,Ellen Troxclair,"Statistics show ""you are about nine times more likely to be assaulted by a taxi driver"" in Austin than a driver for a ride-hailing service.",Texas,"Friday, April 15th, 2016",Data outage,Pants on Fire!
5295,Hillary Clinton,"About ""1 percent of all the gun sellers are responsible for more than half of the guns that are used in crimes.""",Wisconsin,"Friday, April 15th, 2016","Best data generally backs claim, but it's from 1998",Half-True
5296,John Kasich,"Ten times, no Republican candidate for president had enough delegates to claim the nomination before the party’s convention, and seven of those times ""somebody who was not the leader of delegates was selected as the nominee of the party.""",Wisconsin,"Friday, April 15th, 2016","Yes, though history favors him less than it might appear",Mostly True
5297,Hillary Clinton,"In nine Democratic debates, ""We've not had one question about a woman's right to make her own decisions about reproductive health care, not one question.""",National,"Friday, April 15th, 2016",A Fox News town hall excluded,True
5298,Hillary Clinton,"The Republicans ""still want to privatize (Social Security). In fact, their whole idea is to turn over the Social Security trust fund to Wall Street.""",National,"Friday, April 15th, 2016","An old exaggeration, even more so this time",Mostly False
5299,Bernie Sanders,"""When this campaign began, I said that we’ve got to end the starvation minimum wage of $7.25, raise it to $15. Secretary Clinton said let's raise it to $12.""",National,"Thursday, April 14th, 2016",A nuanced position,Mostly True
5300,Hillary Clinton,"Says Bernie Sanders ""has been largely a very reliable supporter of the NRA.""",National,"Thursday, April 14th, 2016",Consistently moderate on guns,Mostly False
5301,Bernie Sanders,"""I remain one of the poorer members of the United States Senate.""",National,"Thursday, April 14th, 2016",As best as the imperfect disclosure rules show,Mostly True
5302,Hillary Clinton,"""We have tougher standards holding toy gun manufacturers and sellers to account than we do for real guns.""",National,"Thursday, April 14th, 2016",A complex legal debate,Half-True
5303,Jeff Bridges,"""Every bit of plastic that has ever been created still exists.""",National,"Thursday, April 14th, 2016",Rubbish about rubbish,False
5304,Donald Trump,"""My numbers are better right now than Ronald Reagan's numbers were with Jimmy Carter.""",National,"Wednesday, April 13th, 2016",Trump is in a worse spot than Reagan was,False
5305,Jan Brewer,"""Senate Bill 1070, simply, just mirrors federal law.""",Arizona,"Wednesday, April 13th, 2016",Most of law clashed,Mostly False
5306,"Paul ""Skip"" Stam","""There are 31 other states and 10,000 other cities that have the same type of policies that we just passed,"" referring to North Carolina’s House Bill 2.",North Carolina,"Wednesday, April 13th, 2016","Right on some parts, not even close on others",Half-True
5307,Bernie Sanders,"Says Hillary Clinton supported and continues to ""support fracking.""",National,"Wednesday, April 13th, 2016",The support comes with conditions,Mostly True
5308,Joe DeFelice,"If the mayor were really serious about supporting Philly's schoolchildren and handling our city's looming fiscal crisis, he could begin by slashing the size of his own administration, which is already 45 percent larger than his predecessor's and 40 percent more costly.",Pennsylvania,"Wednesday, April 13th, 2016","The Mayor's ""administration"" can mean A LOT of things",Half-True
5309,Alan Grayson,"In every ethics case that has resulted in a formal sanction, ""there's been an investigative subcommittee that's been established first.""",Florida,"Wednesday, April 13th, 2016",Congressional saga is far from over,Half-True
5310,Sylvester Turner,"""The Katy Freeway, or Interstate 10 west of Houston, is the widest freeway in the world, with up to 26 lanes, including frontage road lanes.""",Texas,"Wednesday, April 13th, 2016",Pride over wide is misplaced,False
5311,Tammy Baldwin,"""Hedge fund managers and others in private equity pay much lower (tax) rates on their income than do truck drivers and teachers and nurses.""",Wisconsin,"Tuesday, April 12th, 2016",A talking point that doesn't add up,False
5312,Hillary Clinton,"""The state that has the highest per capita number of … guns that end up committing crimes in New York come from Vermont.""",National,"Tuesday, April 12th, 2016",Right number; significance is murkier,Half-True
5313,Barack Obama,"""Right now, here in Texas, wind power is already cheaper than dirty fossil fuels.""",Texas,"Tuesday, April 12th, 2016",Negative pricing? Sometimes,True
5314,Ted Cruz,"""The polling shows over and over again that, unlike Donald Trump, that with me as the nominee, we beat Hillary Clinton.""",California,"Tuesday, April 12th, 2016",Senator's claim about the polls is still Mostly False,Mostly False
5315,Patrick Murphy,"Florida’s regulations on the payday lending industry are ""stronger than almost any other state.""",Florida,"Tuesday, April 12th, 2016","Colorado beats Florida's weak law, advocates say",False
5316,Ted Cruz,"Says a company that got tax breaks from the state later ""laid off 100 Ohioans, even as its CEO cut a half-million-dollar check to Kasich’s super PAC.""",Ohio,"Tuesday, April 12th, 2016",So THAT happened...,Mostly True
5317,Donald Trump,On banning assault weapons.,Texas,"Tuesday, April 12th, 2016",Trump admits flip,Full Flop
5318,Bernie Sanders,"""In Malaysia … many of the workers are indentured servants because their passports are taken away when they come into this country and are working in slave-like conditions.""",Global News Service,"Tuesday, April 12th, 2016","Worker: ""They buy and sell us like cattle""",True
5319,Martha Laning,On supporting winner of Democratic primary with her superdelegate vote.,Wisconsin,"Monday, April 11th, 2016",Then: Primary winner. Now: Presumptive nominee,Full Flop
5320,Ted Cruz,"""Poll after poll after poll shows me beating Hillary.""",National,"Monday, April 11th, 2016",Short by several polls,Mostly False
5321,Tom Price,"Says the Congressional Budget Office ""is expecting a protracted economic malaise for at least the next decade under current policies.""",National,"Monday, April 11th, 2016",Glass could be half full OR half empty,Half-True
5322,Committee to Restore America's Greatness,Says there were over 600 reports of Texas votes for Donald Trump in the state’s 2016 Republican primary virtually all getting tallied for Marco Rubio.,Texas,"Monday, April 11th, 2016",Phantom reports,Pants on Fire!
5323,Frank Luntz,"""Team Trump has accused Ted Cruz of fraud"" in Iowa, Texas, Colorado, Oklahoma, Louisiana, Kansas, Maine, Utah and Wisconsin.""",Texas,"Monday, April 11th, 2016",Fraud's a strong word,Half-True
5324,Bernie Sanders,"""The largest U.S. companies would owe $620 billion in U.S. taxes on the cash they store in tax havens.""",National,"Monday, April 11th, 2016",It's a lot of money,Mostly True
5325,Chris Larson,"""For the votes that we got, I think we spent, on average, two bucks a pop. Compared to 42 bucks"" for incumbent Milwaukee County Executive Chris Abele.",Wisconsin,"Monday, April 11th, 2016",A math misfire,False
5326,Mira Signer,"States with ""the highest gun ownership rates also have the highest suicide rates.""",Virginia,"Sunday, April 10th, 2016","Wyoming, Alaska and Montana",True
5327,Bernie Sanders,"Says Hillary Clinton voted ""for virtually every trade agreement that has cost the workers of this country millions of jobs.""",National,"Sunday, April 10th, 2016",Clinton supports trade deals but job loss question not settled,Half-True
5328,Glenn Beck,"Polls show ""Hillary Clinton wins every time with Donald Trump"" as her opponent.",PunditFact,"Sunday, April 10th, 2016",Trump hasn't a good poll since February,True
5329,Hilary Treadwell,"""Rhode Island: 3% bigger at low tide.""",Rhode Island,"Friday, April 8th, 2016",3% is not the solution,Pants on Fire!
5330,Dan Forest,"Charlotte’s anti-discrimination ordinance would have ""opened all bathrooms to all sexes at all times"" if it hadn’t been overturned.",North Carolina,"Friday, April 8th, 2016",Facts flushed away,False
5331,Jorge Ramos,Says 80 journalists have been killed in Mexico in the last decade.,Texas,"Friday, April 8th, 2016",24? 100-plus? Slippery,Half-True
5332,Jack Graham,"""It’s clear"" that Hillary Clinton ""violated national security laws.""",Colorado,"Friday, April 8th, 2016",Not 'clear' Clinton violated law,False
5333,Hillary Clinton,"Says Bernie Sanders ""wants higher standards for toy guns than real guns.""",National,"Friday, April 8th, 2016",Murky legal definitions,Half-True
5334,Bill Clinton,"""Because of (the 1994 crime bill), we had a 25-year low in crime, a 33-year low in the murder rate, and listen to this, because of that and the background check law, a 46-year low in the deaths of people of gun violence.""",Pennsylvania,"Friday, April 8th, 2016",There were other reasons.,Mostly False
5335,Donald Trump,"Mexico receives ""approximately $24 billion a year in remittances from Mexican nationals working in the United States. The majority of that amount comes from illegal aliens.""",Arizona,"Friday, April 8th, 2016",Hard to track,Half-True
5336,David Jolly,"Race to the Top grants ""require participating states to adopt the Common Core standards as a condition for receiving federal funding.""",Florida,"Friday, April 8th, 2016","Standards won points, weren't required",Mostly False
5337,John Kasich,"""There are no rules governing"" the 2016 Republican convention, ""the rules have not been set.""",Wisconsin,"Friday, April 8th, 2016",Rules are made to be changed,Mostly True
5338,Tom Price,"A study ""from the Massachusetts Institute of Technology, Harvard, and Dartmouth concluded that Medicaid’s value to its beneficiaries is significantly lower than the actual cost of the program.""",Georgia,"Thursday, April 7th, 2016","A non-sequitur, one of the authors says",Half-True
5339,Phil Berger,"""Attorney General Roy Cooper refuses to do his job"" by not defending House Bill 2 in a lawsuit.",North Carolina,"Thursday, April 7th, 2016",Legal scholars say Cooper could be in the right,Half-True
5340,Bernie Sanders,"Says Hillary Clinton ""has been saying lately that she thinks that I am, 'not qualified to be president.' """,National,"Thursday, April 7th, 2016",Clinton hasn't gone that far,Mostly False
5341,Bloggers,"Say Bernie Sanders ""won Nevada after all.""",Nevada,"Thursday, April 7th, 2016","Narrower, but still a Clinton win",False
5342,Mark Pocan,"""More people are struck by lightning than commit in-person voter fraud"" by impersonation.",Wisconsin,"Wednesday, April 6th, 2016",Documented cases of impersonation are few,True
5343,Hillary Clinton,"""The economy always does better when there’s a Democrat in the White House.""",Arizona,"Wednesday, April 6th, 2016",On average but not always,Half-True
5344,Rick Scott's Starbucks heckler,"Says Rick Scott ""stripped women of access to public health care.""",Florida,"Wednesday, April 6th, 2016",Rick Scott signed anti-abortion law,Half-True
5345,Rick Scott's Starbucks heckler,"Says Rick Scott ""cut Medicaid"" so people can't ""get Obamacare.""",Florida,"Wednesday, April 6th, 2016","He didn't cut Medicaid, but people are still uninsured",Half-True
5346,The Other 98%,"""Last year (the U.S. women’s soccer team) generated $20 million more than the men’s team and were paid almost four times less.""",PunditFact,"Wednesday, April 6th, 2016",This claim should go straight to Row Zed,Mostly False
5347,Rick Scott,"""We got a million jobs.""",Florida,"Wednesday, April 6th, 2016",The state did reach the magic number,Mostly True
5348,New Day for America,"""Many just call him 'Lyin' Ted.' ... His TV ad about John Kasich? Lie! Stations had to pull it off the air.""",National,"Wednesday, April 6th, 2016","It was a super PAC, not Cruz himself",False
5349,Hillary Clinton,"When mentioning Villanova’s buzzer-beating win in the national championships, Hillary Clinton said: ""I love those come-from-behind victories.""",Pennsylvania,"Wednesday, April 6th, 2016",This wasn't one of them,Mostly False
5350,Bernie Sanders,Says his campaign has released his past tax returns.,National,"Wednesday, April 6th, 2016","Clinton, among others, has been much more transparent",False
5351,Bill Clinton,"""A college loan is the only loan in the United States that you cannot refinance when interest rates go down.""",California,"Tuesday, April 5th, 2016",Claim is correct for about 90 percent of student loans,Mostly True
5352,Hillary Clinton,"""I have 2 and a half million more votes than he (Sanders) does.""",National,"Tuesday, April 5th, 2016","Maybe not exactly, but close",Mostly True
5353,Victoria Seaman,"Says Erv Nelson voted ""yes on the pro-amnesty SJR 21, a bill urging Congress to provide citizenship for those residing illegally in our country.""",Nevada,"Tuesday, April 5th, 2016",Revisiting the 'amnesty' debate,Mostly True
5354,Barack Obama,"The ""rate of uninsured Americans (is) 8.8 percent.""",National,"Tuesday, April 5th, 2016",Our inquiries prompted a White House correction,Half-True
5355,Marcus Low,"""Most funding for tuberculosis research (is) provided by the U.S. National Institutes for Health.""",Global News Service,"Tuesday, April 5th, 2016","But relatively, Singapore tries harder",Mostly True
5356,Bernie Sanders,"Says Bernie Sanders ""fundamentally changed the lives"" of Immokalee farm workers in Florida for the better.",Florida,"Monday, April 4th, 2016",He was one voice in the workers' struggle,Half-True
5357,Trusted Leadership PAC,"""Millionaires working side by side with George Soros are bankrolling (John Kasich’s) super PAC.""",Ohio,"Monday, April 4th, 2016",Soros' friends not friends of Dems this cycle,False
5358,Bloggers,"""Evidence shows Zika virus turns fetus brains to liquid.""",Global News Service,"Monday, April 4th, 2016",Update: Publication corrects the record,Pants on Fire!
5359,Ron DeSantis,"""Recent reports state that the U.S. Customs and Border Protection has apprehended several members of known Islamist terrorist organizations crossing the southern border in recent years.""",Florida,"Monday, April 4th, 2016",A very few did have ties to Islamist groups,Mostly True
5360,Donald Trump,"China is ""in the South China Sea and (building) a military fortress the likes of which perhaps the world has not seen.""",National,"Monday, April 4th, 2016","Military expansion yes, but no floating Death Star",Half-True
5361,Donald Trump,"""We’ve rebuilt China.""",National,"Monday, April 4th, 2016",You didn't rebuild that,Half-True
5362,John Whitbeck,"Supreme Court nominee Merrick Garland ""voted to uphold"" D.C.’s ban on handguns.",Virginia,"Monday, April 4th, 2016",Garland didn't hear the case,False
5363,Bernie Sanders,"Says his free public university tuition program ""is paid for … by a tax on Wall Street's speculation.""",National,"Monday, April 4th, 2016",Only 2/3 of the story,Mostly False
5364,Don Beyer,"""Over 97 percent of the scientific community … believe that humans are contributing to climate change.""",Virginia,"Monday, April 4th, 2016","Very, very warm",Mostly True
5365,Californians for Lower Drug Prices,"""Twenty-seven out-of-state pharmaceutical companies have raised more campaign dollars (against a drug price control measure) than all other state ballot measures have raised to date, combined.""",California,"Sunday, April 3rd, 2016",Claim omits a very big pot of campaign cash,Half-True
5366,Hillary Clinton,"""I have now put out all of my emails.""",National,"Sunday, April 3rd, 2016",Except for all those ‘personal’ emails,Half-True
5367,Hillary Clinton,"""I'm the only candidate in the Democratic primary, or actually on either side, who Wall Street financiers and hedge fund managers are actually running ads against.""",National,"Friday, April 1st, 2016","Nope, Wall Street is attacking everyone",Pants on Fire!
5368,Donald Trump,"The 2016 federal omnibus spending bill ""funds illegal immigrants coming in and through your border, right through Phoenix.""",Arizona,"Friday, April 1st, 2016",Funds the opposite,Pants on Fire!
5369,LGBT Progress,"North Carolina spent ""almost as much as it spends on government rape crisis programs in a year"" to convene a special session for HB2.",North Carolina,"Friday, April 1st, 2016",Far more government spending goes to rape crisis charities,Mostly False
5370,Chris Sgro,"""There have not been any public safety issues"" in cities that allow transgender people to use the bathroom of the gender they identify as.",North Carolina,"Friday, April 1st, 2016",There are a few unproven allegations,Mostly True
5371,Your Choice Colorado,"Expanding the sale of full-strength beer and wine to grocery stores is ""good for everybody.""",Colorado,"Friday, April 1st, 2016",Liquor stores say it's no bueno,Half-True
